tag,water,distance_m,turb,lam_nm,coh_qubits,n_qubit,seg_mode,n_blocks,n_blocks_expected,n_blocks_valid,sift_per_block,qber_pooled_pct,qber_win_mean_pct,qber_win_std_pct,qber_win_p90_pct,outage,n_dead,sim_qber_win_mean_pct,sim_qber_win_std_pct,sim_qber_win_p90_pct,sim_outage,sim_qber_pooled_pct,sim_sigma2_ho_rom,cont_qber_win_mean_pct,cont_qber_win_std_pct,cont_outage
fixed_B_turb_L1,clear_ocean,25.0,1,450,65536,10485760,attempt,160,160,160,38.275,3.7230568256041803,3.7085762422604156,2.844923951717064,7.6923076923076925,0.0125,0,3.7179499814157935,3.119430807733675,7.894736842105263,0.024875,3.7099136206489733,0.020005134640010473,3.7217393200391227,3.135924187839803,0.02625
fixed_B_turb_L2,clear_ocean,25.0,2,450,65536,10485760,attempt,160,160,160,39.2125,3.6021676761236856,3.677954256625695,3.014201613143568,7.466417910447761,0.025,0,3.732375181809201,3.2106241846790424,8.0,0.028325,3.6968595653262804,0.08000829262915939,3.7408327048833208,3.3129427646204315,0.03225
fixed_B_turb_L3,clear_ocean,25.0,3,450,65536,10485760,attempt,160,160,160,39.95,3.7390488110137667,3.695876893546797,3.477474978021665,7.335365853658534,0.03125,0,3.8132949927055133,3.636870718512785,8.333333333333332,0.0427,3.674140989246323,0.2999131314633266,3.8897106573456735,3.9663391218037756,0.0536
fixed_B_turb_L4,clear_ocean,25.0,4,450,65536,10485760,attempt,160,160,160,35.49375,3.909138932910724,4.576753637152091,6.2766231400095105,10.052631578947366,0.0875,1,5.656522164374925,10.918587863606035,11.76470588235294,0.1117,3.6675502122695804,1.0005747294928762,7.03882296912515,14.021295745572045,0.144025
fixed_B_turb_L5,clear_ocean,25.0,5,450,65536,10485760,attempt,160,160,146,41.325,3.493647912885663,13.890146413551133,24.533727106382894,50.0,0.25,28,10.141416186400058,19.010250850249918,50.0,0.205375,3.6795505117358607,2.9995847051004945,12.783134838619741,22.237827527521382,0.251
fixed_A_dist_d0_L3,clear_ocean,5.0,3,450,65536,931584,attempt,15,15,15,333.4,1.5596880623875224,1.5145467361398564,0.8679330519076071,2.6061713794215673,0.0,0,1.6425497635910484,0.6958871943898213,2.564102564102564,0.0,1.641963799945484,0.020005134640010473,1.6419773070610975,0.6941048872775925,0.0
fixed_A_dist_d1_L3,clear_ocean,10.0,3,450,65536,1735680,attempt,27,27,27,185.1851851851852,2.0,2.053182777327501,1.228905231636425,3.7085889570552153,0.0,0,2.1893760759170737,1.086370330581135,3.6231884057971016,0.0,2.1830269575233814,0.08000829262915939,2.1888336635884973,1.0765319248122196,0.0
fixed_A_dist_d2_L3,clear_ocean,15.0,3,450,65536,3179360,attempt,49,49,49,102.04081632653062,2.74,2.7401765183659568,2.0067822565251734,4.630541871921182,0.0,0,2.73532839353401,1.7722555849216381,4.9504950495049505,0.0013,2.6844460002348125,0.2999131314633266,2.7109677199549576,1.6519709029618874,0.0004
fixed_A_dist_d3_L3,clear_ocean,20.0,3,450,65536,4043744,attempt,62,62,62,64.51612903225806,3.4250000000000003,3.250396920338065,2.6728012040993634,7.506738544474392,0.0,0,3.2650556820506984,2.5528880659388675,6.493506493506493,0.011975,3.173260137703999,0.2999131314633266,3.2650556820506984,2.5528880659388675,0.011975
fixed_A_dist_d4_L3,clear_ocean,25.0,3,450,65536,4798368,attempt,74,74,74,40.54054054054054,3.3333333333333335,3.3775532136017326,3.2328351095581827,8.100303951367785,0.04054054054054054,0,3.8132949927055133,3.636870718512785,8.333333333333332,0.0427,3.674140989246323,0.2999131314633266,3.8897106573456735,3.9663391218037756,0.0536
fixed_A_dist_d5_L3,clear_ocean,30.0,3,450,65536,6953536,attempt,107,107,103,18.69158878504673,4.1000000000000005,9.300655265831706,17.943477928458567,25.0,0.2336448598130841,9,7.449352087024387,14.20845258680427,20.0,0.1831,4.368961850757843,1.0005747294928762,5.03524502287743,7.284225589298329,0.1483
fixed_A_dist_d6_L3,clear_ocean,35.0,3,450,65536,9119008,attempt,140,140,127,8.571428571428571,4.666666666666667,10.264495189049212,18.051628189384434,50.0,0.2714285714285714,17,11.224733024997674,19.681480607021506,50.0,0.2898,5.812309131427628,1.0005747294928762,8.16409139942394,14.842579844280223,0.261625
fixed_A_dist_d7_L3,clear_ocean,40.0,3,450,65536,8347904,attempt,128,128,105,4.6875,7.166666666666667,17.864294593838178,24.95131501614821,50.0,0.3828125,33,17.05991613004049,25.68011678229579,50.0,0.385925,8.412893412893412,1.0005747294928762,17.8948241288804,26.07109145693866,0.396775
fixed_A_dist_d9_L3,clear_ocean,50.0,3,450,65536,9527168,attempt,146,146,84,1.0273972602739727,26.666666666666668,37.214611872146115,31.5987673816498,100.0,0.6506849315068494,88,32.576953237734486,31.90019307543887,66.66666666666666,0.57855,19.757975797579757,1.0005747294928762,34.58485856851482,31.896136802075127,0.6124
fixed_D_coastal_d0_L3,coastal,2.0,3,450,65536,1293440,attempt,20,20,20,250.0,2.7199999999999998,2.707213408134927,0.8815461990561737,3.8258847842934642,0.0,0,2.601546044257171,0.9606639658090681,3.862660944206009,0.0,2.6004689462545976,0.020005134640010473,2.599855706419359,0.9509920072341067,0.0
fixed_D_coastal_d1_L3,coastal,4.0,3,450,65536,2467296,attempt,38,38,38,131.57894736842104,3.54,3.5183403984854116,1.6371129725310067,5.666666666666668,0.0,0,3.630873427974474,1.640017230979748,5.813953488372093,0.0001,3.6279068198328344,0.020005134640010473,3.6285967702560797,1.635451136524686,5e-05
fixed_D_coastal_d2_L3,coastal,6.0,3,450,65536,3937504,attempt,61,61,61,65.57377049180327,4.5,4.468149193641346,2.695239367977633,8.333333333333332,0.01639344262295082,0,4.382570257641163,2.635461120370512,7.894736842105263,0.01545,4.373996253990443,0.020005134640010473,4.380334379885633,2.635162957653047,0.015475
fixed_D_coastal_d3_L3,coastal,8.0,3,450,65536,6660672,attempt,102,102,102,29.41176470588235,5.4,5.1684003380524155,3.7824295966358648,9.689578713968961,0.049019607843137254,0,5.075475931525884,4.210667394517068,10.638297872340425,0.091775,5.028148648471415,0.08000829262915939,5.062809128521723,4.1211327712141115,0.0885
fixed_D_coastal_d4_L3,coastal,10.0,3,450,65536,8660544,attempt,133,133,133,15.037593984962406,5.949999999999999,5.847671931236005,6.085006307035314,14.285714285714285,0.21804511278195488,0,6.02501370186956,6.736384281237738,15.0,0.215125,5.9413675913360855,0.08000829262915939,6.0162746325040715,6.68981248849148,0.212275
fixed_D_coastal_d5_L3,coastal,13.0,3,450,65536,10540768,attempt,161,161,160,4.968944099378882,7.75,7.713694173321503,12.913520740339093,25.0,0.3167701863354037,6,9.294932726798185,15.420191247990351,33.33333333333333,0.341475,8.5360182869226,0.08000829262915939,9.51532998932612,15.887856621693272,0.34095
fixed_D_coastal_d6_L3,coastal,16.0,3,450,65536,10105504,attempt,155,155,131,1.935483870967742,20.0,26.05888376856119,31.36523333563695,63.99999999999996,0.4774193548387097,58,22.050598144910648,29.10696675422248,50.0,0.4306,14.706934437119934,0.2999131314633266,21.297809163059163,28.823939645364614,0.4172
fixed_D_coastal_d7_L3,coastal,19.0,3,450,65536,12072992,attempt,185,185,103,0.8108108108108109,22.666666666666664,35.78378378378378,32.249051127062536,100.0,0.6162162162162163,109,36.06195833333334,32.27680294776538,100.0,0.6205,25.73559103023124,0.2999131314633266,36.1018244047619,32.37301469239704,0.620075
fixed_D_harbor_d0_L3,harbor,0.5,3,450,65536,2044896,attempt,32,32,32,156.25,4.24,4.230150418944299,1.3796656579056035,5.9234577303884235,0.0,0,3.953185800440738,1.5181332766914692,5.960264900662252,0.0001,3.9527000936123518,0.020005134640010473,3.952898610399236,1.5055392659688631,2.5e-05
fixed_D_harbor_d1_L3,harbor,1.0,3,450,65536,5429056,attempt,83,83,83,48.19277108433735,5.5,5.513715036100086,3.4763208977354383,9.96078431372549,0.07228915662650602,0,5.091196902551827,3.269464748615188,9.433962264150944,0.049975,5.0727088089737995,0.020005134640010473,5.079331230351699,3.229235842904042,0.048875
fixed_D_harbor_d2_L3,harbor,1.5,3,450,65536,7381056,attempt,113,113,113,13.274336283185841,6.0,6.398531115502217,7.217850156607454,16.666666666666664,0.21238938053097345,0,6.307419345679686,6.866708836202916,15.384615384615385,0.224475,6.265137541101932,0.020005134640010473,6.296063882980802,6.769671132384837,0.224025
fixed_D_harbor_d3_L3,harbor,2.0,3,450,65536,8973184,attempt,137,137,134,4.37956204379562,9.5,11.564129301355578,18.504298018385263,33.33333333333333,0.3722627737226277,11,10.216270580114331,17.18840351335389,33.33333333333333,0.34245,9.404866471604494,0.020005134640010473,10.039653450715951,16.882139945037107,0.3413
